,VALUE
1314,44300.0
1315,52000.0
1316,50700.0
1317,50600.0
1318,62400.0
1319,66400.0
1320,70100.0
1321,78900.0
1322,84800.0
1323,22400.0
1324,43800.0
1325,94300.0
1326,148700.0
1327,150100.0
1328,159900.0
1329,162300.0
1330,159000.0
1331,178500.0
1332,202100.0
1333,213400.0
1334,229000.0
1335,244700.0
1336,19000.0
1337,128800.00000000001
1338,250200.0
1339,520799.99999999994
1340,496400.0
1341,490000.0
1342,502500.0
1343,528700.0
1344,576000.0
1345,615000.0
1346,606100.0
1347,608000.0
1348,607600.0
1349,77000.0
1350,252500.0
1351,525200.0
1352,85600.0
1353,92500.0
1354,92600.0
1355,107800.0
1356,118900.0
1357,131900.0
1358,150900.0
1359,177000.0
1360,198200.0
1361,200400.0
1362,8600.0
1363,36500.0
1364,173200.0
1365,10300.0
1366,12000.0
1367,13000.0
1368,12800.0
1369,13900.0
1370,16900.0
1371,17100.0
1372,19200.0
1373,22100.0
1374,23400.0
1375,1500.0
1376,7700.0
1377,23200.0
1378,29900.0
1379,32900.0
1380,32800.0
1381,34200.0
1382,35000.0
1383,35100.0
1384,50600.0
1385,57800.0
1386,61800.0
1387,62000.0
1388,12200.0
1389,30200.0
1390,57100.0
1391,9800.0
1392,10100.0
1393,20800.0
1394,22800.0
1395,27400.0
1396,30900.0
1397,30700.0
1398,31300.0
1399,32400.0
1400,28500.0
1401,2600.0
1402,7200.0
1403,28900.0
1404,14100.0
1405,14300.0
1406,17000.0
1407,18800.0
1408,19800.0
1409,25500.0
1410,23500.0
1411,21700.0
1412,20400.0
1413,22300.0
1414,1500.0
1415,12700.0
1416,42100.0
1417,38500.0
1418,39600.0
1419,40100.0
1420,38700.0
1421,41500.0
1422,46800.0
1423,44900.0
1424,43100.0
1425,44800.0
1426,13500.0
1427,33600.0
1428,31800.0
1429,28000.0
1430,35800.0
1431,35700.0
1432,43100.0
1433,44200.0
1434,50100.0
1435,55700.0
1436,60100.0
1437,68100.0
1438,6600.0
1439,53000.0
1440,76800.0
1441,66600.0
1442,70300.0
1443,71000.0
1444,80300.0
1445,92200.0
1446,90500.0
1447,85900.0
1448,90800.0
1449,94000.0
1450,7700.0
1451,58900.0
1452,62900.0
1453,59000.0
1454,65300.0
1455,70500.0
1456,74800.0
1457,86100.0
1458,91300.0
1459,97400.0
1460,112600.0
1461,107300.0
1462,7000.0
1463,46800.0
1464,45100.0
1465,38600.0
1466,43600.0
1467,46000.0
1468,43800.0
1469,54400.0
1470,58400.0
1471,58100.0
1472,67200.0
1473,74400.0
1474,6600.0
1475,49300.0
1476,133700.0
1477,127100.0
1478,143600.0
1479,141300.0
1480,147700.0
1481,166100.0
1482,191400.0
1483,195300.0
1484,206600.0
1485,224300.0
1486,13700.0
1487,152200.0
1488,544000.0
1489,482400.0
1490,484500.0
1491,503500.0
1492,548800.0
1493,630200.0
1494,619300.0
1495,609700.0
1496,633000.0
1497,629700.0
1498,56400.0
1499,314200.0
1500,76500.0
1501,69700.0
1502,72100.0
1503,83800.0
1504,94800.0
1505,103000.0
1506,127100.0
1507,142500.0
1508,164600.0
1509,157800.0
1510,5100.0
1511,32800.0
1512,10800.0
1513,11600.0
1514,13000.0
1515,13200.0
1516,14300.0
1517,17500.0
1518,17400.0
1519,18200.0
1520,21100.0
1521,21600.0
1522,700.0
1523,9800.0
1524,31400.0
1525,32900.0
1526,33500.0
1527,36100.0
1528,35800.0
1529,41100.0
1530,52400.0
1531,61200.0
1532,64599.99999999999
1533,64400.00000000001
1534,8900.0
1535,34800.0
1536,7500.0
1537,8400.0
1538,15000.0
1539,16800.0
1540,21800.0
1541,24300.0
1542,22700.0
1543,23800.0
1544,22400.0
1545,22500.0
1546,1900.0
1547,8800.0
1548,14800.0
1549,13100.0
1550,16300.0
1551,16100.000000000002
1552,19200.0
1553,21200.0
1554,19900.0
1555,21400.0
1556,22600.0
1557,21600.0
1558,900.0
1559,13300.0
1560,33000.0
1561,31400.0
1562,33300.0
1563,33400.0
1564,36600.0
1565,41400.0
1566,40800.0
1567,37700.0
1568,38600.0
1569,42900.0
1570,8100.0
1571,33900.0
1572,8500.0
1573,8700.0
1574,11700.0
1575,10900.0
1576,14900.0
1577,17200.0
1578,22700.0
1579,22900.0
1580,25200.0
1581,29100.0
1582,4700.0
1583,26900.0
1584,43800.0
1585,45100.0
1586,45500.0
1587,46200.0
1588,51400.0
1589,52600.0
1590,57300.0
1591,60000.0
1592,62800.0
1593,63800.0
1594,3800.0
1595,43900.0
1596,44500.0
1597,45200.0
1598,46100.0
1599,48500.0
1600,54300.0
1601,60300.0
1602,63400.0
1603,76300.0
1604,90000.0
1605,83200.0
1606,2500.0
1607,45800.0
1608,24500.0
1609,23600.0
1610,25700.0
1611,23500.0
1612,30200.0
1613,34100.0
1614,37600.0
1615,40600.0
1616,42700.0
1617,49700.0
1618,1600.0
1619,35200.0
1620,68200.0
1621,73800.0
1622,76700.0
1623,75900.0
1624,82600.0
1625,95800.0
1626,114300.0
1627,117300.0
1628,122800.0
1629,127700.0
1630,12000.0
1631,94700.0
1632,447700.0
1633,437800.0
1634,428700.0
1635,454400.0
1636,484200.0
1637,528200.0
1638,574200.0
1639,579800.0
1640,584700.0
1641,572200.0
1642,38800.0
1643,313800.0
1644,63800.0
1645,61600.0
1646,67600.0
1647,69800.0
1648,72800.0
1649,82000.0
1650,98300.0
1651,120300.0
1652,134400.0
1653,124700.0
1654,4000.0
1655,32200.000000000004
1656,7600.0
1657,8200.0
1658,8700.0
1659,8500.0
1660,9500.0
1661,11800.0
1662,11700.0
1663,12800.0
1664,13700.0
1665,13400.0
1666,200.0
1667,8100.0
1668,28800.0
1669,28600.0
1670,28900.0
1671,30200.0
1672,31300.0
1673,50300.0
1674,55600.0
1675,59100.0
1676,59100.0
1677,60900.0
1678,8600.0
1679,38300.0
1680,7900.0
1681,9300.0
1682,18200.0
1683,19800.0
1684,26100.0
1685,25600.0
1686,25500.0
1687,27200.0
1688,26800.0
1689,25300.0
1690,2100.0
1691,9700.0
1692,12300.0
1693,13500.0
1694,16800.0
